,RespSex,Q6_1,age_dv,marstat2,religion_dv,workstat2,wimd_2014_quintile
154716,1,1.0,5,1,1.0,1.0,5
154717,1,,1,2,,,5
154718,1,1.0,2,2,1.0,1.0,4
154720,2,2.0,5,1,1.0,2.0,4
154721,2,3.0,5,2,1.0,2.0,4
154722,2,3.0,7,2,1.0,2.0,3
154723,2,3.0,7,2,1.0,3.0,3
154724,2,1.0,2,2,1.0,1.0,5
154725,1,1.0,1,2,1.0,1.0,5
154726,1,2.0,5,2,1.0,1.0,5
154727,1,3.0,6,1,1.0,2.0,4
154728,2,,1,2,,,5
154730,2,3.0,7,2,1.0,2.0,3
154732,2,2.0,4,1,1.0,1.0,5
154733,1,1.0,4,1,3.0,1.0,5
154734,2,3.0,6,2,,2.0,4
154735,1,1.0,5,1,3.0,2.0,4
154736,1,3.0,7,2,,2.0,4
154737,2,3.0,7,2,,2.0,3
154738,2,2.0,5,1,1.0,2.0,4
154739,2,1.0,3,1,1.0,1.0,4
154741,2,1.0,6,1,1.0,1.0,3
154742,2,1.0,2,2,3.0,1.0,5
154743,1,1.0,1,2,3.0,3.0,5
154744,1,3.0,7,1,3.0,2.0,3
154745,2,2.0,4,1,1.0,1.0,5
154746,1,2.0,1,2,3.0,1.0,3
154749,1,2.0,4,2,1.0,2.0,4
154751,1,2.0,3,1,3.0,1.0,5
154752,1,3.0,7,1,1.0,2.0,4
154753,2,1.0,4,1,,1.0,5
154755,1,1.0,3,1,,1.0,5
154756,1,1.0,3,1,1.0,1.0,5
154758,1,1.0,4,1,3.0,1.0,5
154759,1,1.0,4,1,1.0,1.0,5
154761,1,5.0,7,1,,2.0,3
154762,2,,1,2,,,5
154763,2,2.0,5,1,1.0,1.0,5
154764,1,3.0,5,2,,2.0,3
154766,1,1.0,3,1,1.0,1.0,5
154767,2,3.0,6,2,1.0,2.0,4
154768,1,2.0,3,1,3.0,1.0,5
154770,1,2.0,5,1,1.0,2.0,5
154772,2,2.0,4,2,1.0,1.0,4
154773,2,3.0,6,2,1.0,2.0,4
154774,1,1.0,4,1,3.0,1.0,5
154775,2,3.0,6,1,1.0,2.0,3
154776,2,,1,2,,,5
154778,1,1.0,7,1,1.0,2.0,3
154779,1,2.0,5,1,3.0,1.0,4
154780,2,2.0,4,1,1.0,1.0,5
154781,2,1.0,2,1,3.0,1.0,5
154782,2,1.0,2,2,1.0,1.0,5
154784,2,2.0,4,2,1.0,1.0,4
154787,1,1.0,1,2,3.0,1.0,5
154789,2,2.0,4,1,1.0,3.0,3
154790,1,1.0,4,1,3.0,1.0,4
154791,1,3.0,7,1,1.0,2.0,3
154792,2,2.0,4,1,1.0,3.0,5
154793,1,2.0,4,2,3.0,3.0,3
154794,2,2.0,5,1,1.0,1.0,5
154795,1,3.0,5,2,1.0,2.0,4
154798,2,4.0,7,2,1.0,2.0,4
154799,1,,1,2,,,5
154800,1,3.0,6,1,1.0,2.0,3
154801,1,3.0,6,1,1.0,2.0,4
154802,2,4.0,6,1,1.0,2.0,3
154803,2,1.0,2,1,1.0,1.0,5
154805,1,1.0,5,1,1.0,1.0,5
154806,2,3.0,7,1,,2.0,3
154807,1,1.0,2,2,3.0,1.0,4
154808,2,2.0,7,1,1.0,2.0,4
154809,1,3.0,4,1,1.0,3.0,3
154810,2,3.0,6,1,1.0,2.0,4
154811,1,2.0,6,1,1.0,2.0,3
154813,1,1.0,2,1,3.0,3.0,4
154814,2,3.0,3,2,3.0,1.0,5
154815,2,,1,2,,,5
154816,1,1.0,2,1,1.0,1.0,5
154817,2,1.0,4,1,1.0,1.0,5
154818,2,3.0,5,1,1.0,2.0,4
154819,2,2.0,4,1,1.0,1.0,5
154820,2,3.0,5,2,3.0,1.0,4
154821,2,1.0,3,1,1.0,1.0,5
154822,2,2.0,5,2,3.0,1.0,5
154823,2,1.0,4,1,,1.0,5
154824,2,1.0,2,2,3.0,1.0,4
154825,1,1.0,1,2,1.0,1.0,5
154826,2,2.0,7,1,1.0,2.0,3
154827,2,3.0,6,2,1.0,2.0,3
154830,2,5.0,3,2,1.0,3.0,4
154831,1,2.0,5,1,3.0,1.0,5
154832,1,1.0,4,1,1.0,3.0,4
154833,1,1.0,4,1,1.0,1.0,5
154834,2,1.0,5,2,1.0,1.0,3
154835,1,3.0,5,2,1.0,2.0,4
154836,2,2.0,6,2,,2.0,3
154837,1,3.0,5,1,1.0,1.0,5
154838,2,1.0,1,1,1.0,1.0,4
154839,2,2.0,6,1,1.0,2.0,4
154841,2,3.0,7,2,1.0,2.0,4
154842,1,2.0,1,2,1.0,3.0,5
154845,1,3.0,3,1,1.0,1.0,4
154846,1,5.0,5,2,,2.0,3
154847,2,1.0,7,1,1.0,2.0,3
154848,1,2.0,1,2,1.0,3.0,5
154849,1,1.0,2,2,3.0,1.0,4
154851,1,2.0,1,1,3.0,1.0,4
154853,2,1.0,1,2,1.0,3.0,4
154854,2,2.0,5,1,,2.0,4
154855,1,3.0,4,2,,1.0,4
154856,2,2.0,7,1,1.0,2.0,5
154857,2,2.0,6,1,1.0,2.0,3
154858,1,2.0,3,2,,1.0,5
154859,1,1.0,2,2,1.0,1.0,5
154860,2,1.0,1,2,1.0,1.0,5
154861,1,2.0,3,2,3.0,1.0,5
154862,2,2.0,3,1,1.0,1.0,5
154863,1,2.0,5,1,1.0,2.0,4
154865,2,1.0,4,1,1.0,1.0,5
154867,2,2.0,6,2,2.0,2.0,4
154869,1,3.0,5,1,1.0,1.0,3
154870,1,1.0,4,2,1.0,1.0,5
154871,2,1.0,6,2,1.0,2.0,4
154872,1,4.0,7,2,1.0,2.0,3
154873,1,2.0,1,2,1.0,1.0,4
154874,1,3.0,5,2,3.0,3.0,4
154876,2,3.0,6,2,1.0,1.0,5
154877,2,2.0,5,1,1.0,1.0,4
154878,2,2.0,1,2,3.0,3.0,3
154880,1,2.0,1,2,3.0,1.0,3
154881,1,3.0,3,2,1.0,3.0,3
154882,2,3.0,5,1,1.0,1.0,4
