,Q6_1,RespSex,age_dv,marstat2,religion_dv,source,wimd_2014_quintile,workstat2
4,,2,,1.0,1.0,survey,,
7,,2,,1.0,1.0,survey,,
23,,2,,1.0,1.0,survey,,
24,,1,,1.0,1.0,survey,,
50,,2,,1.0,1.0,survey,,
55,,1,,1.0,3.0,survey,,
75,,2,,2.0,1.0,survey,,
125,,2,,1.0,1.0,survey,,
162,,2,,2.0,1.0,survey,,
186,,1,,2.0,1.0,survey,,
216,,2,,1.0,1.0,survey,,
220,,2,,1.0,3.0,survey,,
226,,2,,2.0,1.0,survey,,
227,,2,,2.0,1.0,survey,,
244,,2,,2.0,1.0,survey,,
251,,2,,1.0,1.0,survey,,
283,,2,,1.0,1.0,survey,,
323,,1,,1.0,3.0,survey,,
372,,1,,1.0,1.0,survey,,
415,,1,,1.0,1.0,survey,,
511,,1,,1.0,3.0,survey,,
518,,1,,2.0,1.0,survey,,
558,,2,,2.0,1.0,survey,,
561,,1,,2.0,1.0,survey,,
592,,1,,2.0,1.0,survey,,
642,,1,,2.0,1.0,survey,,
647,,1,,1.0,1.0,survey,,
662,,2,,1.0,1.0,survey,,
672,,2,,2.0,1.0,survey,,
689,,2,,2.0,1.0,survey,,
702,,2,,1.0,3.0,survey,,
707,,2,,1.0,1.0,survey,,
722,,2,,1.0,3.0,survey,,
729,,1,,2.0,1.0,survey,,
754,,1,,1.0,3.0,survey,,
784,,2,,1.0,2.0,survey,,
807,,1,,2.0,1.0,survey,,
849,,2,,2.0,1.0,survey,,
868,,1,,2.0,1.0,survey,,
879,,1,,2.0,1.0,survey,,
892,,1,,1.0,1.0,survey,,
896,,1,,1.0,3.0,survey,,
934,,2,,1.0,1.0,survey,,
955,,2,,2.0,1.0,survey,,
1015,,2,,1.0,1.0,survey,,
1024,,1,,1.0,1.0,survey,,
1037,,2,,1.0,1.0,survey,,
1045,,2,,2.0,1.0,survey,,
1112,,1,,2.0,1.0,survey,,
1150,,2,,2.0,1.0,survey,,
1211,,2,,1.0,1.0,survey,,
1245,,2,,2.0,1.0,survey,,
1247,,2,,2.0,3.0,survey,,
1317,,2,,1.0,1.0,survey,,
1326,,2,,2.0,1.0,survey,,
1359,,1,,1.0,1.0,survey,,
1383,,2,,2.0,1.0,survey,,
1399,,2,,2.0,1.0,survey,,
1403,,1,,2.0,1.0,survey,,
1431,,2,,2.0,1.0,survey,,
1500,,2,,2.0,1.0,survey,,
1558,,2,,1.0,3.0,survey,,
1584,,2,,2.0,3.0,survey,,
1592,,2,,1.0,1.0,survey,,
1618,,2,,2.0,3.0,survey,,
1630,,1,,1.0,3.0,survey,,
1633,,2,,1.0,3.0,survey,,
1636,,2,,2.0,1.0,survey,,
1645,,2,,2.0,3.0,survey,,
1647,,2,,1.0,3.0,survey,,
1661,,1,,1.0,1.0,survey,,
1679,,1,,2.0,1.0,survey,,
1691,,2,,1.0,1.0,survey,,
1722,,1,,1.0,3.0,survey,,
1724,,1,,2.0,1.0,survey,,
1731,,2,,2.0,1.0,survey,,
1733,,2,,1.0,1.0,survey,,
1762,,2,,2.0,3.0,survey,,
1789,,2,,2.0,3.0,survey,,
1802,,2,,1.0,1.0,survey,,
1812,,2,,1.0,1.0,survey,,
1866,,2,,2.0,3.0,survey,,
1885,,1,,1.0,1.0,survey,,
1931,,1,,1.0,1.0,survey,,
1961,,1,,2.0,3.0,survey,,
1970,,1,,2.0,1.0,survey,,
1993,,2,,2.0,1.0,survey,,
2012,,2,,1.0,1.0,survey,,
2014,,2,,1.0,1.0,survey,,
2015,,2,,1.0,1.0,survey,,
