,surveyyear,age_dv,marstat2,religion_dv,RespSex,wimd_2014_quintile,workstat2,Q6_1
0,1,,1.0,1.0,2,,,
1,1,,1.0,1.0,2,,,
2,1,,1.0,1.0,2,,,
3,1,,1.0,1.0,1,,,
4,1,,1.0,1.0,2,,,
5,1,,1.0,3.0,1,,,
6,1,,2.0,1.0,2,,,
7,1,,1.0,1.0,2,,,
8,1,,2.0,1.0,2,,,
9,1,,2.0,1.0,1,,,
10,1,,1.0,1.0,2,,,
11,1,,1.0,3.0,2,,,
12,1,,2.0,1.0,2,,,
13,1,,2.0,1.0,2,,,
14,1,,2.0,1.0,2,,,
15,1,,1.0,1.0,2,,,
16,1,,1.0,1.0,2,,,
17,1,,1.0,3.0,1,,,
18,1,,1.0,1.0,1,,,
19,1,,1.0,1.0,1,,,
20,1,,1.0,3.0,1,,,
21,1,,2.0,1.0,1,,,
22,1,,2.0,1.0,2,,,
23,1,,2.0,1.0,1,,,
24,1,,2.0,1.0,1,,,
25,1,,2.0,1.0,1,,,
26,1,,1.0,1.0,1,,,
27,1,,1.0,1.0,2,,,
28,1,,2.0,1.0,2,,,
29,1,,2.0,1.0,2,,,
30,1,,1.0,3.0,2,,,
31,1,,1.0,1.0,2,,,
32,1,,1.0,3.0,2,,,
33,1,,2.0,1.0,1,,,
34,1,,1.0,3.0,1,,,
35,1,,1.0,2.0,2,,,
36,1,,2.0,1.0,1,,,
37,1,,2.0,1.0,2,,,
38,1,,2.0,1.0,1,,,
39,1,,2.0,1.0,1,,,
40,1,,1.0,1.0,1,,,
41,1,,1.0,3.0,1,,,
42,1,,1.0,1.0,2,,,
43,1,,2.0,1.0,2,,,
44,1,,1.0,1.0,2,,,
45,1,,1.0,1.0,1,,,
46,1,,1.0,1.0,2,,,
47,1,,2.0,1.0,2,,,
48,1,,2.0,1.0,1,,,
49,1,,2.0,1.0,2,,,
50,1,,1.0,1.0,2,,,
51,1,,2.0,1.0,2,,,
52,1,,2.0,3.0,2,,,
53,1,,1.0,1.0,2,,,
54,1,,2.0,1.0,2,,,
55,1,,1.0,1.0,1,,,
56,1,,2.0,1.0,2,,,
57,1,,2.0,1.0,2,,,
58,1,,2.0,1.0,1,,,
59,1,,2.0,1.0,2,,,
60,1,,2.0,1.0,2,,,
61,1,,1.0,3.0,2,,,
62,1,,2.0,3.0,2,,,
63,1,,1.0,1.0,2,,,
64,1,,2.0,3.0,2,,,
65,1,,1.0,3.0,1,,,
66,1,,1.0,3.0,2,,,
67,1,,2.0,1.0,2,,,
68,1,,2.0,3.0,2,,,
69,1,,1.0,3.0,2,,,
70,1,,1.0,1.0,1,,,
71,1,,2.0,1.0,1,,,
72,1,,1.0,1.0,2,,,
73,1,,1.0,3.0,1,,,
74,1,,2.0,1.0,1,,,
75,1,,2.0,1.0,2,,,
76,1,,1.0,1.0,2,,,
77,1,,2.0,3.0,2,,,
78,1,,2.0,3.0,2,,,
79,1,,1.0,1.0,2,,,
80,1,,1.0,1.0,2,,,
81,1,,2.0,3.0,2,,,
82,1,,1.0,1.0,1,,,
83,1,,1.0,1.0,1,,,
84,1,,2.0,3.0,1,,,
85,1,,2.0,1.0,1,,,
86,1,,2.0,1.0,2,,,
87,1,,1.0,1.0,2,,,
88,1,,1.0,1.0,2,,,
89,1,,1.0,1.0,2,,,
90,1,,1.0,1.0,1,,,
91,1,,1.0,1.0,2,,,
92,1,,1.0,3.0,2,,,
93,1,,2.0,1.0,1,,,
94,1,,2.0,1.0,2,,,
95,1,,2.0,1.0,1,,,
96,1,,2.0,3.0,1,,,
97,1,,1.0,1.0,2,,,
98,1,,1.0,3.0,2,,,
99,1,,2.0,1.0,2,,,
100,1,,2.0,1.0,2,,,
101,1,,1.0,1.0,2,,,
102,1,,1.0,1.0,1,,,
103,1,,1.0,3.0,1,,,
104,1,,1.0,3.0,2,,,
105,1,,1.0,3.0,1,,,
106,1,,2.0,1.0,2,,,
107,1,,2.0,1.0,1,,,
108,1,,1.0,3.0,2,,,
109,1,,1.0,1.0,2,,,
110,1,,2.0,3.0,1,,,
111,1,,1.0,1.0,2,,,
112,1,,2.0,1.0,1,,,
113,1,,2.0,1.0,2,,,
114,1,,2.0,1.0,1,,,
115,1,,1.0,1.0,1,,,
116,1,,1.0,1.0,2,,,
117,1,,2.0,3.0,2,,,
118,1,,2.0,3.0,2,,,
119,1,,1.0,1.0,1,,,
120,1,,2.0,1.0,1,,,
121,2,,1.0,1.0,2,,,
122,2,,2.0,1.0,2,,,
123,2,,1.0,1.0,2,,,
124,2,,1.0,1.0,2,,,
125,2,,2.0,1.0,2,,,
126,2,,1.0,3.0,1,,,
127,2,,2.0,3.0,2,,,
128,2,,2.0,3.0,1,,,
129,2,,2.0,1.0,1,,,
130,2,,1.0,1.0,1,,,
131,2,,1.0,1.0,2,,,
132,2,,2.0,,2,,,
133,2,,2.0,3.0,2,,,
134,2,,1.0,3.0,1,,,
135,2,,1.0,1.0,2,,,
136,2,,1.0,1.0,1,,,
137,2,,2.0,3.0,2,,,
138,2,,2.0,3.0,1,,,
139,2,,2.0,1.0,2,,,
140,2,,1.0,1.0,2,,,
141,2,,2.0,1.0,1,,,
142,2,,1.0,1.0,1,,,
143,2,,1.0,3.0,1,,,
144,2,,2.0,3.0,2,,,
145,2,,1.0,3.0,2,,,
146,2,,2.0,1.0,2,,,
147,2,,2.0,1.0,1,,,
148,2,,2.0,1.0,1,,,
149,2,,2.0,3.0,2,,,
150,2,,2.0,3.0,2,,,
151,2,,2.0,2.0,2,,,
152,2,,1.0,3.0,2,,,
153,2,,1.0,3.0,2,,,
154,2,,1.0,3.0,2,,,
155,2,,1.0,1.0,1,,,
156,2,,2.0,1.0,2,,,
157,2,,2.0,1.0,2,,,
158,2,,2.0,1.0,2,,,
159,2,,1.0,3.0,1,,,
160,2,,1.0,1.0,2,,,
161,2,,2.0,1.0,2,,,
162,2,,1.0,1.0,2,,,
163,2,,2.0,1.0,1,,,
164,2,,2.0,1.0,2,,,
165,2,,1.0,1.0,1,,,
166,2,,1.0,3.0,1,,,
167,2,,2.0,3.0,2,,,
168,2,,2.0,3.0,2,,,
169,2,,1.0,1.0,1,,,
170,2,,1.0,3.0,2,,,
171,2,,1.0,1.0,2,,,
172,2,,2.0,1.0,1,,,
173,2,,1.0,1.0,2,,,
174,2,,1.0,1.0,2,,,
175,2,,1.0,1.0,2,,,
176,2,,2.0,1.0,2,,,
177,2,,2.0,1.0,2,,,
178,2,,2.0,3.0,2,,,
179,2,,1.0,1.0,1,,,
180,2,,2.0,1.0,2,,,
181,2,,1.0,1.0,2,,,
182,2,,2.0,3.0,1,,,
183,2,,2.0,3.0,1,,,
184,2,,1.0,1.0,2,,,
